2026-06-22 09:15:57.599 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.600 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.613 [info] Excalidraw MCP server running on stdio
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.737 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.737 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.737 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.738 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.739 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.739 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.739 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.739 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.740 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.740 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.741 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.741 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.742 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.742 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.742 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.743 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.744 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.744 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.744 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.744 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.745 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.745 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.745 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.745 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.746 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.746 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.746 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.746 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.747 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.747 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.748 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.748 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.749 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.751 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.751 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.753 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.754 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.754 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.754 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.755 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.755 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.755 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.756 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.756 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.757 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.758 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.758 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.758 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.758 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.759 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.759 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.759 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.760 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.760 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.760 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.761 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.761 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.761 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.761 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.761 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.762 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.763 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.763 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.763 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.763 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.763 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.764 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.764 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.764 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.764 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.764 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.764 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.765 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.765 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.765 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.765 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.765 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.765 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.766 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.766 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.766 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.767 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.767 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.768 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.769 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.769 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.769 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.770 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.770 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.770 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.771 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.771 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.771 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.772 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.772 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.772 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.772 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.772 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.773 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.773 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.773 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.773 [error] Uncaught exception: EPIPE: broken pipe, write
